11, 721, 660, 53, 1502, 778, AG, 176, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_176_cl_t_20240610_073015.pdf
38, 505, 490, 15, 1000, 457, AG, 181, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_181_cl_t_20240610_074327.pdf
4, 526, 516, 10, 1200, 670, AG, 155, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_155_cl_t_20240610_091446.pdf
9, 527, 513, 14, 1600, 1064, AG, 106, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_106_cl_t_20240610_055729.pdf
10, 402, 392, 10, 724, 312, AG, 445, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_445_cl_t_20240610_045159.pdf
1, 596, 576, 19, 1700, 1104, AG, 65, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_65_cl_t_20240610_083037.pdf
5, 1125, 1094, 31, 1844, 714, AG, 378, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_378_cl_t_20240610_100319.pdf
13, 767, 744, 23, 1354, 574, AG, 419, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_419_cl_t_20240610_065241.pdf
32, 172, 170, 2, 384, 180, AG, 304, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_304_cl_t_20240610_035058.pdf
9, 551, 537, 14, 1100, 540, AG, 333, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_333_cl_t_20240610_073859.pdf
4, 588, 565, 19, 1700, 1112, AG, 57, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_57_cl_t_20240610_064301.pdf
16, 924, 909, 15, 1321, 381, AG, 339, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_339_cl_t_20240610_112131.pdf
6, 313, 307, 6, 625, 306, AG, 399, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_399_cl_t_20240610_083445.pdf
1, 571, 552, 18, 1750, 1179, AG, 121, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_121_cl_t_20240610_094232.pdf
15, 1018, 960, 40, 1505, 490, AG, 456, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_456_cl_t_20240610_064520.pdf
2, 570, 548, 20, 910, 340, AG, 271, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_271_cl_t_20240610_050213.pdf
30, 564, 500, 34, 823, 259, AG, 337, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16427_337_gnrtd_1718103286.pdf
6, 747, 717, 24, 1700, 953, AG, 147, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13301_147_gnrtd_1718186146.pdf
5, 695, 682, 8, 1710, 1015, AG, 71, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_71_gnrtd_1718185668.pdf
12, 892, 835, 45, 1600, 708, AG, 472, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_18778_472_gnrtd_1718118135.pdf
2, 536, 502, 32, 900, 364, AG, 497, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_19338_497_gnrtd_1718115605.pdf
5, 588, 563, 20, 1700, 1112, AG, 57, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_57_gnrtd_1718195599.pdf
7, 76, 74, 2, 139, 56, AG, 442, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_18331_442_gnrtd_1718008931.pdf
1, 459, 430, 28, 800, 341, AG, 281, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_15108_281_gnrtd_1718024225.pdf
5, 1018, 968, 45, 1505, 487, AG, 456, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_18527_456_gnrtd_1718106497.pdf
17, 470, 424, 29, 830, 360, AG, 211, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_14085_211_gnrtd_1718120507.pdf
2, 525, 495, 28, 745, 220, AG, 338, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16427_338_gnrtd_1718104080.pdf
20, 613, 561, 32, 960, 347, AG, 342, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16472_342_gnrtd_1718105952.pdf
1, 693, 670, 22, 1000, 307, AG, 230, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_14352_230_gnrtd_1718132384.pdf
3, 964, 927, 34, 1536, 572, AG, 386, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_17209_386_gnrtd_1718097338.pdf
32, 924, 889, 35, 1321, 365, AG, 339, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16454_339_gnrtd_1718100425.pdf
1, 246, 243, 2, 462, 216, AG, 424, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_18028_424_gnrtd_1718104339.pdf
11, 640, 601, 28, 1038, 398, AG, 485, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_19141_485_gnrtd_1718030470.pdf
2, 658, 622, 36, 960, 300, AG, 489, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_19212_489_gnrtd_1718113536.pdf
1, 383, 362, 20, 700, 317, AG, 188, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13757_188_gnrtd_1718175268.pdf
2, 841, 821, 18, 1900, 1059, AG, 150, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13301_150_gnrtd_1718186906.pdf
7, 1045, 896, 142, 1839, 794, AG, 260, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_20063_260_gnrtd_1718107188.pdf
1, 280, 273, 6, 443, 163, AG, 286, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_15233_286_gnrtd_1718113051.pdf
2, 592, 570, 20, 1600, 1008, AG, 77, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_77_gnrtd_1718186561.pdf
1, 232, 216, 15, 246, 14, AG, 330, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16329_330_gnrtd_1718179743.pdf
1, 318, 300, 17, 509, 191, AG, 404, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_17575_404_gnrtd_1718098109.pdf
1, 475, 460, 14, 829, 354, AG, 428, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_18028_428_gnrtd_1718105399.pdf
4, 432, 409, 19, 1300, 868, AG, 1, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_1_gnrtd_1718184718.pdf
2, 570, 540, 28, 910, 340, AG, 271, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_15108_271_gnrtd_1718026618.pdf
10, 721, 662, 49, 1502, 781, AG, 176, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13392_176_gnrtd_1718108774.pdf
3, 300, 279, 18, 350, 50, AG, 298, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_15554_298_gnrtd_1718127689.pdf
12, 601, 572, 17, 912, 311, AG, 396, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_17423_396_gnrtd_1718183405.pdf
3, 314, 298, 13, 800, 486, AG, 45, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_45_gnrtd_1718190028.pdf
1, 569, 544, 24, 1600, 1031, AG, 68, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CJ/pv_sv_ag_68_cj_t_20240610_112157.pdf
8, 441, 414, 19, 869, 428, AG, 328, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16285_328_gnrtd_1718128997.pdf
2, 179, 172, 5, 308, 129, AG, 373, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_17049_373_gnrtd_1718124457.pdf
5, 141, 135, 1, 338, 197, AG, 166, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13301_166_gnrtd_1718183743.pdf
6, 649, 504, 139, 976, 327, AG, 233, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_14405_233_gnrtd_1718187284.pdf
2, 596, 579, 15, 1700, 1104, AG, 65, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_65_gnrtd_1718183715.pdf
1, 670, 648, 21, 1900, 1230, AG, 11, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_11_gnrtd_1718189185.pdf
7, 623, 597, 19, 1700, 1077, AG, 55, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CJ/pv_sv_ag_55_cj_t_20240610_042712.pdf
16, 1002, 946, 40, 1452, 450, AG, 340, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16454_340_gnrtd_1718100801.pdf
3, 454, 431, 20, 712, 258, AG, 487, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_19141_487_gnrtd_1718185432.pdf
1, 430, 405, 24, 491, 61, AG, 332, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_16329_332_gnrtd_1718171912.pdf
3, 677, 651, 23, 1700, 1023, AG, 19, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CJ/pv_sv_ag_19_cj_t_20240610_125931.pdf
39, 647, 579, 29, 919, 272, AG, 194, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13891_194_gnrtd_1718102280.pdf
4, 442, 400, 38, 679, 237, AG, 212, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_14085_212_gnrtd_1718121036.pdf
5, 476, 445, 26, 826, 350, AG, 375, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_17049_375_gnrtd_1718122625.pdf
4, 704, 672, 28, 1900, 1196, AG, 60, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_13169_60_gnrtd_1718184209.pdf
12, 912, 881, 19, 1494, 582, AG, 422, CJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cj_sv_ag_18028_422_gnrtd_1718103526.pdf
4, 383, 361, 18, 640, 257, AG, 188, PCJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_pcj_sv_ag_13757_188_gnrtd_1718184034.pdf
6, 141, 133, 2, 338, 197, AG, 166, PCJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_pcj_sv_ag_13301_166_gnrtd_1718183884.pdf
12, 892, 845, 35, 1600, 708, AG, 472, PCJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_pcj_sv_ag_18778_472_gnrtd_1718118292.pdf
